date,gecko-t-win10-64-hw,gecko-t-osx-1010,gecko-t-linux-talos,gecko-t-linux-talos-b,gecko-t-osx-1010-beta,gecko-t-win10-64-ux
2019-02-20 15:07:05.842608,1353,0,0,0,0,17
2019-02-20 15:08:41.039443,1353,0,0,0,0,17
2019-02-20 15:09:33.427738,1353,0,0,0,0,17
2019-02-20 15:11:10.361492,1353,0,0,0,0,17
2019-02-20 15:12:44.760958,1353,0,0,0,0,17
2019-02-20 15:14:20.027446,1353,0,0,0,0,17
2019-02-20 15:15:55.092497,1353,0,0,0,0,17
2019-02-20 15:17:28.972339,1382,0,0,0,0,17
2019-02-20 15:19:02.935738,1382,0,0,0,0,17
2019-02-20 15:20:37.594487,1382,0,0,0,0,17
2019-02-20 15:22:12.136255,1382,0,0,0,0,17
2019-02-20 15:23:45.708961,1382,0,0,0,0,17
2019-02-20 15:25:22.332410,1382,0,0,0,0,17
2019-02-20 15:26:56.674474,1382,0,0,0,0,17
2019-02-20 15:28:30.891016,1382,0,0,0,0,17
2019-02-20 15:30:05.292936,1382,0,0,0,0,17
2019-02-20 15:31:39.970673,1382,0,0,0,0,17
2019-02-20 15:33:15.127276,1382,5,0,0,0,17
2019-02-20 15:34:49.359499,1382,0,0,0,0,17
2019-02-20 15:36:24.218348,1384,0,0,0,0,17
2019-02-20 15:37:57.769997,1384,0,0,0,0,17
2019-02-20 15:39:31.863683,1384,0,0,0,0,17
2019-02-20 15:41:06.655597,1411,0,0,0,0,17
2019-02-20 15:42:41.604260,1438,0,0,0,0,17
2019-02-20 15:44:15.538439,1464,0,0,0,0,17
2019-02-20 15:45:50.070204,1515,0,0,0,0,17
2019-02-20 15:47:24.642971,1517,0,0,0,0,17
2019-02-20 15:49:02.306809,1517,0,0,0,0,17
2019-02-20 15:50:36.104285,1517,0,0,0,0,17
2019-02-20 15:52:10.363546,1517,0,0,0,0,17
2019-02-20 15:53:44.386467,1517,0,0,0,0,17
2019-02-20 15:55:18.451388,1517,0,0,0,0,17
2019-02-20 15:56:52.511241,1517,0,0,0,0,17
2019-02-20 15:58:26.321382,1517,0,0,0,0,17
2019-02-20 15:59:59.847254,1517,0,0,0,0,17
2019-02-20 16:01:33.797431,1544,0,0,0,0,17
2019-02-20 16:03:07.885551,1544,0,0,0,0,17
2019-02-20 16:04:42.636394,1544,0,0,0,0,17
2019-02-20 16:06:16.754662,1546,0,0,0,0,17
2019-02-20 16:07:51.151719,1546,0,0,0,0,17
2019-02-20 16:09:24.148250,1546,0,0,0,0,17
2019-02-20 16:10:57.668653,1546,0,0,0,0,17
2019-02-20 16:12:32.007683,1546,0,0,0,0,17
2019-02-20 16:14:06.196728,1546,0,0,0,0,17
2019-02-20 16:15:40.369787,1546,0,0,0,0,17
2019-02-20 16:17:14.737116,1546,0,0,0,0,17
2019-02-20 16:18:47.986666,1546,0,0,0,0,17
2019-02-20 16:20:23.614427,1546,0,0,0,0,16
2019-02-20 16:21:57.714913,1546,0,0,0,0,16
2019-02-20 16:23:31.906891,1548,0,0,0,0,16
2019-02-20 16:37:01.988382,1625,0,0,0,0,16
2019-02-20 16:38:37.779763,1625,0,0,0,0,16
2019-02-20 16:40:11.815565,1625,0,0,0,0,16
2019-02-20 16:41:46.118559,1625,0,0,0,0,16
2019-02-20 16:43:19.641218,1625,0,0,0,0,16
2019-02-20 16:44:52.831381,1625,0,0,0,0,16
2019-02-20 16:46:26.961571,1625,0,0,0,0,16
2019-02-20 16:48:00.738282,1625,0,0,0,0,16
